instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,event,temp_cat,atemp_cat,hum_cat,wind_cat
31,2011-01-02,Winter,2011,January,7,Non-Holiday,Sunday,Non-Work,Cloudy,10.8,11.0,76.0,13.0,1,No,Cool,Cool,Too Moist,Slow Wind
32,2011-01-02,Winter,2011,January,8,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,10.8,11.0,71.0,15.0,8,No,Cool,Cool,Too Moist,Slow Wind
33,2011-01-02,Winter,2011,January,9,Non-Holiday,Sunday,Non-Work,Cloudy,9.86,10.0,76.0,15.0,20,No,Cold,Cold,Too Moist,Slow Wind
34,2011-01-02,Winter,2011,January,10,Non-Holiday,Sunday,Non-Work,Cloudy,8.92,7.0,81.0,15.0,53,No,Cold,Cold,Too Moist,Slow Wind
35,2011-01-02,Winter,2011,January,11,Non-Holiday,Sunday,Non-Work,Cloudy,8.92,6.0,71.0,17.0,70,No,Cold,Cold,Too Moist,Slow Wind
36,2011-01-02,Winter,2011,January,12,Non-Holiday,Sunday,Non-Work,Cloudy,8.92,6.0,66.0,20.0,93,No,Cold,Cold,Too Moist,Slow Wind
37,2011-01-02,Winter,2011,January,13,Non-Holiday,Sunday,Non-Work,Cloudy,8.92,7.0,66.0,9.0,75,No,Cold,Cold,Too Moist,Slow Wind
38,2011-01-02,Winter,2011,January,14,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,8.92,7.0,76.0,13.0,59,No,Cold,Cold,Too Moist,Slow Wind
39,2011-01-02,Winter,2011,January,15,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,7.98,6.0,81.0,11.0,74,No,Cold,Cold,Too Moist,Slow Wind
40,2011-01-02,Winter,2011,January,16,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,7.98,6.0,71.0,11.0,76,No,Cold,Cold,Too Moist,Slow Wind
41,2011-01-02,Winter,2011,January,17,Non-Holiday,Sunday,Non-Work,Clear,7.98,6.0,57.0,13.0,65,No,Cold,Cold,Optimum,Slow Wind
42,2011-01-02,Winter,2011,January,18,Non-Holiday,Sunday,Non-Work,Cloudy,8.92,6.0,46.0,22.0,53,No,Cold,Cold,Optimum,Normal
43,2011-01-02,Winter,2011,January,19,Non-Holiday,Sunday,Non-Work,Clear,7.04,3.0,42.0,30.0,30,No,Cold,Cold,Optimum,Normal
44,2011-01-02,Winter,2011,January,20,Non-Holiday,Sunday,Non-Work,Clear,6.1,2.0,39.0,24.0,22,No,Cold,Cold,Optimum,Normal
45,2011-01-02,Winter,2011,January,21,Non-Holiday,Sunday,Non-Work,Clear,4.22,-1.0,44.0,22.0,31,No,Cold,Cold,Optimum,Normal
46,2011-01-02,Winter,2011,January,22,Non-Holiday,Sunday,Non-Work,Clear,3.28,-2.0,44.0,20.0,9,No,Cold,Cold,Optimum,Slow Wind
47,2011-01-02,Winter,2011,January,23,Non-Holiday,Sunday,Non-Work,Clear,2.34,-1.0,47.0,11.0,8,No,Cold,Cold,Optimum,Slow Wind
48,2011-01-03,Winter,2011,January,0,Non-Holiday,Monday,Work,Clear,2.34,-3.0,44.0,24.0,5,No,Cold,Cold,Optimum,Normal
49,2011-01-03,Winter,2011,January,1,Non-Holiday,Monday,Work,Clear,1.4,-5.0,44.0,28.0,2,No,Cold,Cold,Optimum,Normal
50,2011-01-03,Winter,2011,January,4,Non-Holiday,Monday,Work,Clear,-0.48,-7.0,47.0,26.0,1,No,Cold,Cold,Optimum,Normal
51,2011-01-03,Winter,2011,January,5,Non-Holiday,Monday,Work,Clear,-0.48,-7.0,47.0,19.0,3,No,Cold,Cold,Optimum,Slow Wind
52,2011-01-03,Winter,2011,January,6,Non-Holiday,Monday,Work,Clear,-1.42,-9.0,50.0,26.0,30,No,Cold,Cold,Optimum,Normal
53,2011-01-03,Winter,2011,January,7,Non-Holiday,Monday,Work,Clear,-1.42,-7.0,50.0,13.0,64,No,Cold,Cold,Optimum,Slow Wind
54,2011-01-03,Winter,2011,January,8,Non-Holiday,Monday,Work,Clear,-1.42,-8.0,50.0,19.0,154,No,Cold,Cold,Optimum,Slow Wind
55,2011-01-03,Winter,2011,January,9,Non-Holiday,Monday,Work,Clear,-0.48,-7.0,43.0,26.0,88,No,Cold,Cold,Optimum,Normal
56,2011-01-03,Winter,2011,January,10,Non-Holiday,Monday,Work,Clear,0.46,-5.0,43.0,17.0,44,No,Cold,Cold,Optimum,Slow Wind
57,2011-01-03,Winter,2011,January,11,Non-Holiday,Monday,Work,Clear,1.4,-4.0,40.0,22.0,51,No,Cold,Cold,Optimum,Normal
58,2011-01-03,Winter,2011,January,12,Non-Holiday,Monday,Work,Clear,2.34,-2.0,35.0,20.0,61,No,Cold,Cold,Optimum,Slow Wind
59,2011-01-03,Winter,2011,January,13,Non-Holiday,Monday,Work,Clear,3.28,-2.0,35.0,19.0,61,No,Cold,Cold,Optimum,Slow Wind
60,2011-01-03,Winter,2011,January,14,Non-Holiday,Monday,Work,Clear,4.22,-0.0,30.0,19.0,77,No,Cold,Cold,Too Dry,Slow Wind
61,2011-01-03,Winter,2011,January,15,Non-Holiday,Monday,Work,Clear,4.22,-0.0,30.0,17.0,72,No,Cold,Cold,Too Dry,Slow Wind
62,2011-01-03,Winter,2011,January,16,Non-Holiday,Monday,Work,Clear,4.22,-0.0,30.0,17.0,76,No,Cold,Cold,Too Dry,Slow Wind
63,2011-01-03,Winter,2011,January,17,Non-Holiday,Monday,Work,Clear,3.28,-1.0,30.0,15.0,157,No,Cold,Cold,Too Dry,Slow Wind
64,2011-01-03,Winter,2011,January,18,Non-Holiday,Monday,Work,Clear,3.28,1.0,32.0,7.0,157,No,Cold,Cold,Optimum,Slow Wind
65,2011-01-03,Winter,2011,January,19,Non-Holiday,Monday,Work,Clear,1.4,1.0,47.0,0.0,110,No,Cold,Cold,Optimum,Slow Wind
66,2011-01-03,Winter,2011,January,20,Non-Holiday,Monday,Work,Clear,1.4,-1.0,47.0,7.0,52,No,Cold,Cold,Optimum,Slow Wind
67,2011-01-03,Winter,2011,January,21,Non-Holiday,Monday,Work,Clear,0.46,-3.0,64.0,9.0,52,No,Cold,Cold,Too Moist,Slow Wind
68,2011-01-03,Winter,2011,January,22,Non-Holiday,Monday,Work,Clear,-1.42,-6.0,69.0,9.0,20,No,Cold,Cold,Too Moist,Slow Wind
69,2011-01-03,Winter,2011,January,23,Non-Holiday,Monday,Work,Clear,0.46,-2.0,55.0,7.0,12,No,Cold,Cold,Optimum,Slow Wind
70,2011-01-04,Winter,2011,January,0,Non-Holiday,Tuesday,Work,Clear,-0.48,-4.0,55.0,7.0,5,No,Cold,Cold,Optimum,Slow Wind
71,2011-01-04,Winter,2011,January,1,Non-Holiday,Tuesday,Work,Clear,-0.48,-4.0,59.0,7.0,2,No,Cold,Cold,Optimum,Slow Wind
72,2011-01-04,Winter,2011,January,2,Non-Holiday,Tuesday,Work,Clear,-1.42,-6.0,63.0,9.0,1,No,Cold,Cold,Too Moist,Slow Wind
73,2011-01-04,Winter,2011,January,4,Non-Holiday,Tuesday,Work,Clear,-1.42,-4.0,63.0,6.0,2,No,Cold,Cold,Too Moist,Slow Wind
74,2011-01-04,Winter,2011,January,5,Non-Holiday,Tuesday,Work,Clear,-2.36,-6.0,68.0,7.0,4,No,Cold,Cold,Too Moist,Slow Wind
75,2011-01-04,Winter,2011,January,6,Non-Holiday,Tuesday,Work,Clear,-2.36,-6.0,74.0,7.0,36,No,Cold,Cold,Too Moist,Slow Wind
76,2011-01-04,Winter,2011,January,7,Non-Holiday,Tuesday,Work,Clear,-2.36,-6.0,74.0,9.0,94,No,Cold,Cold,Too Moist,Slow Wind
77,2011-01-04,Winter,2011,January,8,Non-Holiday,Tuesday,Work,Clear,-1.42,-6.0,69.0,11.0,179,No,Cold,Cold,Too Moist,Slow Wind
78,2011-01-04,Winter,2011,January,9,Non-Holiday,Tuesday,Work,Clear,-0.48,-6.0,64.0,15.0,100,No,Cold,Cold,Too Moist,Slow Wind
79,2011-01-04,Winter,2011,January,10,Non-Holiday,Tuesday,Work,Cloudy,-0.48,-7.0,69.0,22.0,42,No,Cold,Cold,Too Moist,Normal
80,2011-01-04,Winter,2011,January,11,Non-Holiday,Tuesday,Work,Clear,2.34,-2.0,51.0,20.0,57,No,Cold,Cold,Optimum,Slow Wind
81,2011-01-04,Winter,2011,January,12,Non-Holiday,Tuesday,Work,Clear,2.34,-1.0,51.0,11.0,78,No,Cold,Cold,Optimum,Slow Wind
82,2011-01-04,Winter,2011,January,13,Non-Holiday,Tuesday,Work,Clear,3.28,-1.0,56.0,13.0,97,No,Cold,Cold,Optimum,Slow Wind
83,2011-01-04,Winter,2011,January,14,Non-Holiday,Tuesday,Work,Clear,4.22,1.0,52.0,15.0,63,No,Cold,Cold,Optimum,Slow Wind
84,2011-01-04,Winter,2011,January,15,Non-Holiday,Tuesday,Work,Clear,5.16,2.0,52.0,17.0,65,No,Cold,Cold,Optimum,Slow Wind
85,2011-01-04,Winter,2011,January,16,Non-Holiday,Tuesday,Work,Clear,6.1,3.0,49.0,17.0,83,No,Cold,Cold,Optimum,Slow Wind
86,2011-01-04,Winter,2011,January,17,Non-Holiday,Tuesday,Work,Clear,5.16,2.0,48.0,15.0,212,No,Cold,Cold,Optimum,Slow Wind
87,2011-01-04,Winter,2011,January,18,Non-Holiday,Tuesday,Work,Clear,4.22,1.0,48.0,13.0,182,No,Cold,Cold,Optimum,Slow Wind
88,2011-01-04,Winter,2011,January,19,Non-Holiday,Tuesday,Work,Clear,3.28,1.0,48.0,7.0,112,No,Cold,Cold,Optimum,Slow Wind
89,2011-01-04,Winter,2011,January,20,Non-Holiday,Tuesday,Work,Clear,3.28,1.0,48.0,7.0,54,No,Cold,Cold,Optimum,Slow Wind
90,2011-01-04,Winter,2011,January,21,Non-Holiday,Tuesday,Work,Clear,2.34,2.0,64.0,0.0,48,No,Cold,Cold,Too Moist,Slow Wind
91,2011-01-04,Winter,2011,January,22,Non-Holiday,Tuesday,Work,Clear,2.34,1.0,64.0,6.0,35,No,Cold,Cold,Too Moist,Slow Wind
92,2011-01-04,Winter,2011,January,23,Non-Holiday,Tuesday,Work,Clear,1.4,-1.0,69.0,6.0,11,No,Cold,Cold,Too Moist,Slow Wind
93,2011-01-05,Winter,2011,January,0,Non-Holiday,Wednesday,Work,Clear,1.4,1.0,64.0,0.0,6,No,Cold,Cold,Too Moist,Slow Wind
94,2011-01-05,Winter,2011,January,1,Non-Holiday,Wednesday,Work,Clear,-0.48,-3.0,74.0,6.0,6,No,Cold,Cold,Too Moist,Slow Wind
95,2011-01-05,Winter,2011,January,2,Non-Holiday,Wednesday,Work,Clear,-0.48,-3.0,74.0,6.0,2,No,Cold,Cold,Too Moist,Slow Wind
96,2011-01-05,Winter,2011,January,4,Non-Holiday,Wednesday,Work,Clear,3.28,-1.0,48.0,15.0,2,No,Cold,Cold,Optimum,Slow Wind
97,2011-01-05,Winter,2011,January,5,Non-Holiday,Wednesday,Work,Clear,2.34,-1.0,47.0,11.0,3,No,Cold,Cold,Optimum,Slow Wind
98,2011-01-05,Winter,2011,January,6,Non-Holiday,Wednesday,Work,Clear,1.4,-3.0,47.0,15.0,33,No,Cold,Cold,Optimum,Slow Wind
99,2011-01-05,Winter,2011,January,7,Non-Holiday,Wednesday,Work,Clear,0.46,-4.0,43.0,13.0,88,No,Cold,Cold,Optimum,Slow Wind
100,2011-01-05,Winter,2011,January,8,Non-Holiday,Wednesday,Work,Clear,1.4,-4.0,40.0,20.0,195,No,Cold,Cold,Optimum,Slow Wind
101,2011-01-05,Winter,2011,January,9,Non-Holiday,Wednesday,Work,Clear,2.34,-3.0,37.0,22.0,115,No,Cold,Cold,Optimum,Normal
102,2011-01-05,Winter,2011,January,10,Non-Holiday,Wednesday,Work,Clear,2.34,-3.0,37.0,22.0,57,No,Cold,Cold,Optimum,Normal
103,2011-01-05,Winter,2011,January,11,Non-Holiday,Wednesday,Work,Clear,4.22,-1.0,33.0,22.0,46,No,Cold,Cold,Optimum,Normal
104,2011-01-05,Winter,2011,January,12,Non-Holiday,Wednesday,Work,Clear,4.22,-1.0,33.0,22.0,79,No,Cold,Cold,Optimum,Normal
105,2011-01-05,Winter,2011,January,13,Non-Holiday,Wednesday,Work,Clear,5.16,1.0,30.0,20.0,71,No,Cold,Cold,Too Dry,Slow Wind
106,2011-01-05,Winter,2011,January,14,Non-Holiday,Wednesday,Work,Clear,6.1,3.0,28.0,13.0,62,No,Cold,Cold,Too Dry,Slow Wind
107,2011-01-05,Winter,2011,January,15,Non-Holiday,Wednesday,Work,Clear,6.1,3.0,28.0,13.0,62,No,Cold,Cold,Too Dry,Slow Wind
108,2011-01-05,Winter,2011,January,16,Non-Holiday,Wednesday,Work,Clear,6.1,5.0,28.0,6.0,89,No,Cold,Cold,Too Dry,Slow Wind
109,2011-01-05,Winter,2011,January,17,Non-Holiday,Wednesday,Work,Clear,3.28,-1.0,38.0,13.0,190,No,Cold,Cold,Optimum,Slow Wind
110,2011-01-05,Winter,2011,January,18,Non-Holiday,Wednesday,Work,Clear,3.28,-0.0,38.0,9.0,169,No,Cold,Cold,Optimum,Slow Wind
111,2011-01-05,Winter,2011,January,19,Non-Holiday,Wednesday,Work,Clear,3.28,1.0,38.0,7.0,132,No,Cold,Cold,Optimum,Slow Wind
112,2011-01-05,Winter,2011,January,20,Non-Holiday,Wednesday,Work,Clear,2.34,-1.0,47.0,11.0,89,No,Cold,Cold,Optimum,Slow Wind
113,2011-01-05,Winter,2011,January,21,Non-Holiday,Wednesday,Work,Clear,1.4,-3.0,51.0,13.0,43,No,Cold,Cold,Optimum,Slow Wind
114,2011-01-05,Winter,2011,January,22,Non-Holiday,Wednesday,Work,Clear,0.46,-3.0,55.0,9.0,42,No,Cold,Cold,Optimum,Slow Wind
115,2011-01-05,Winter,2011,January,23,Non-Holiday,Wednesday,Work,Clear,1.4,1.0,47.0,0.0,19,No,Cold,Cold,Optimum,Slow Wind
116,2011-01-06,Winter,2011,January,0,Non-Holiday,Thursday,Work,Clear,0.46,-0.0,55.0,0.0,11,No,Cold,Cold,Optimum,Slow Wind
117,2011-01-06,Winter,2011,January,1,Non-Holiday,Thursday,Work,Clear,-0.48,-1.0,64.0,0.0,4,No,Cold,Cold,Too Moist,Slow Wind
118,2011-01-06,Winter,2011,January,2,Non-Holiday,Thursday,Work,Clear,-0.48,-1.0,64.0,0.0,2,No,Cold,Cold,Too Moist,Slow Wind
119,2011-01-06,Winter,2011,January,4,Non-Holiday,Thursday,Work,Cloudy,-0.48,-3.0,64.0,6.0,1,No,Cold,Cold,Too Moist,Slow Wind
120,2011-01-06,Winter,2011,January,5,Non-Holiday,Thursday,Work,Cloudy,-1.42,-4.0,69.0,6.0,4,No,Cold,Cold,Too Moist,Slow Wind
121,2011-01-06,Winter,2011,January,6,Non-Holiday,Thursday,Work,Cloudy,-1.42,-5.0,63.0,7.0,36,No,Cold,Cold,Too Moist,Slow Wind
122,2011-01-06,Winter,2011,January,7,Non-Holiday,Thursday,Work,Cloudy,-0.48,-1.0,59.0,0.0,95,No,Cold,Cold,Optimum,Slow Wind
123,2011-01-06,Winter,2011,January,8,Non-Holiday,Thursday,Work,Clear,-0.48,-1.0,59.0,0.0,219,No,Cold,Cold,Optimum,Slow Wind
124,2011-01-06,Winter,2011,January,9,Non-Holiday,Thursday,Work,Cloudy,0.46,-0.0,51.0,0.0,122,No,Cold,Cold,Optimum,Slow Wind
125,2011-01-06,Winter,2011,January,10,Non-Holiday,Thursday,Work,Clear,1.4,1.0,47.0,0.0,45,No,Cold,Cold,Optimum,Slow Wind
126,2011-01-06,Winter,2011,January,11,Non-Holiday,Thursday,Work,Clear,2.34,1.0,44.0,6.0,59,No,Cold,Cold,Optimum,Slow Wind
127,2011-01-06,Winter,2011,January,12,Non-Holiday,Thursday,Work,Clear,4.22,3.0,35.0,0.0,84,No,Cold,Cold,Optimum,Slow Wind
128,2011-01-06,Winter,2011,January,13,Non-Holiday,Thursday,Work,Clear,4.22,2.0,35.0,7.0,67,No,Cold,Cold,Optimum,Slow Wind
129,2011-01-06,Winter,2011,January,14,Non-Holiday,Thursday,Work,Clear,5.16,2.0,36.0,11.0,70,No,Cold,Cold,Optimum,Slow Wind
130,2011-01-06,Winter,2011,January,15,Non-Holiday,Thursday,Work,Clear,5.16,2.0,36.0,0.0,62,No,Cold,Cold,Optimum,Slow Wind
131,2011-01-06,Winter,2011,January,16,Non-Holiday,Thursday,Work,Clear,4.22,1.0,38.0,11.0,86,No,Cold,Cold,Optimum,Slow Wind
132,2011-01-06,Winter,2011,January,17,Non-Holiday,Thursday,Work,Clear,2.34,-1.0,51.0,11.0,172,No,Cold,Cold,Optimum,Slow Wind
133,2011-01-06,Winter,2011,January,18,Non-Holiday,Thursday,Work,Clear,2.34,-1.0,51.0,9.0,163,No,Cold,Cold,Optimum,Slow Wind
134,2011-01-06,Winter,2011,January,19,Non-Holiday,Thursday,Work,Clear,2.34,1.0,55.0,6.0,112,No,Cold,Cold,Optimum,Slow Wind
135,2011-01-06,Winter,2011,January,20,Non-Holiday,Thursday,Work,Clear,1.4,-2.0,51.0,11.0,69,No,Cold,Cold,Optimum,Slow Wind
136,2011-01-06,Winter,2011,January,21,Non-Holiday,Thursday,Work,Cloudy,2.34,-2.0,55.0,15.0,48,No,Cold,Cold,Optimum,Slow Wind
137,2011-01-06,Winter,2011,January,22,Non-Holiday,Thursday,Work,Cloudy,2.34,-2.0,51.0,19.0,52,No,Cold,Cold,Optimum,Slow Wind
138,2011-01-06,Winter,2011,January,23,Non-Holiday,Thursday,Work,Cloudy,1.4,-3.0,59.0,13.0,23,No,Cold,Cold,Optimum,Slow Wind
139,2011-01-07,Winter,2011,January,0,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,64.0,13.0,17,No,Cold,Cold,Too Moist,Slow Wind
140,2011-01-07,Winter,2011,January,1,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,69.0,15.0,7,No,Cold,Cold,Too Moist,Slow Wind
141,2011-01-07,Winter,2011,January,2,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,69.0,15.0,1,No,Cold,Cold,Too Moist,Slow Wind
142,2011-01-07,Winter,2011,January,4,Non-Holiday,Friday,Work,Cloudy,1.4,-2.0,69.0,9.0,1,No,Cold,Cold,Too Moist,Slow Wind
143,2011-01-07,Winter,2011,January,5,Non-Holiday,Friday,Work,Light Rain/Snow,2.34,2.0,55.0,0.0,5,No,Cold,Cold,Optimum,Slow Wind
144,2011-01-07,Winter,2011,January,6,Non-Holiday,Friday,Work,Cloudy,1.4,1.0,69.0,0.0,34,No,Cold,Cold,Too Moist,Slow Wind
145,2011-01-07,Winter,2011,January,7,Non-Holiday,Friday,Work,Clear,1.4,-2.0,69.0,9.0,84,No,Cold,Cold,Too Moist,Slow Wind
146,2011-01-07,Winter,2011,January,8,Non-Holiday,Friday,Work,Clear,1.4,-3.0,51.0,17.0,210,No,Cold,Cold,Optimum,Slow Wind
147,2011-01-07,Winter,2011,January,9,Non-Holiday,Friday,Work,Clear,1.4,-4.0,47.0,20.0,134,No,Cold,Cold,Optimum,Slow Wind
148,2011-01-07,Winter,2011,January,10,Non-Holiday,Friday,Work,Clear,2.34,-3.0,37.0,22.0,63,No,Cold,Cold,Optimum,Normal
149,2011-01-07,Winter,2011,January,11,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,40.0,15.0,67,No,Cold,Cold,Optimum,Slow Wind
150,2011-01-07,Winter,2011,January,12,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,37.0,17.0,59,No,Cold,Cold,Optimum,Slow Wind
151,2011-01-07,Winter,2011,January,13,Non-Holiday,Friday,Work,Cloudy,1.4,-4.0,37.0,19.0,73,No,Cold,Cold,Optimum,Slow Wind
152,2011-01-07,Winter,2011,January,14,Non-Holiday,Friday,Work,Cloudy,1.4,-3.0,40.0,17.0,50,No,Cold,Cold,Optimum,Slow Wind
153,2011-01-07,Winter,2011,January,15,Non-Holiday,Friday,Work,Cloudy,1.4,-2.0,37.0,11.0,72,No,Cold,Cold,Optimum,Slow Wind
154,2011-01-07,Winter,2011,January,16,Non-Holiday,Friday,Work,Cloudy,1.4,-2.0,37.0,11.0,87,No,Cold,Cold,Optimum,Slow Wind
155,2011-01-07,Winter,2011,January,17,Non-Holiday,Friday,Work,Cloudy,1.4,1.0,37.0,0.0,187,No,Cold,Cold,Optimum,Slow Wind
156,2011-01-07,Winter,2011,January,18,Non-Holiday,Friday,Work,Clear,1.4,-1.0,40.0,6.0,123,No,Cold,Cold,Optimum,Slow Wind
157,2011-01-07,Winter,2011,January,19,Non-Holiday,Friday,Work,Clear,-0.48,-3.0,55.0,6.0,95,No,Cold,Cold,Optimum,Slow Wind
158,2011-01-07,Winter,2011,January,20,Non-Holiday,Friday,Work,Clear,0.46,-2.0,47.0,7.0,51,No,Cold,Cold,Optimum,Slow Wind
159,2011-01-07,Winter,2011,January,21,Non-Holiday,Friday,Work,Clear,0.46,-3.0,47.0,9.0,39,No,Cold,Cold,Optimum,Slow Wind
160,2011-01-07,Winter,2011,January,22,Non-Holiday,Friday,Work,Cloudy,0.46,-3.0,43.0,11.0,36,No,Cold,Cold,Optimum,Slow Wind
161,2011-01-07,Winter,2011,January,23,Non-Holiday,Friday,Work,Cloudy,0.46,-3.0,51.0,11.0,15,No,Cold,Cold,Optimum,Slow Wind
162,2011-01-08,Winter,2011,January,0,Non-Holiday,Saturday,Non-Work,Cloudy,0.46,-3.0,51.0,11.0,25,No,Cold,Cold,Optimum,Slow Wind
163,2011-01-08,Winter,2011,January,1,Non-Holiday,Saturday,Non-Work,Cloudy,0.46,-2.0,55.0,6.0,16,No,Cold,Cold,Optimum,Slow Wind
164,2011-01-08,Winter,2011,January,2,Non-Holiday,Saturday,Non-Work,Cloudy,0.46,-0.0,55.0,0.0,16,No,Cold,Cold,Optimum,Slow Wind
165,2011-01-08,Winter,2011,January,3,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,0.46,-3.0,55.0,11.0,7,No,Cold,Cold,Optimum,Slow Wind
166,2011-01-08,Winter,2011,January,4,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,0.46,-3.0,55.0,11.0,1,No,Cold,Cold,Optimum,Slow Wind
167,2011-01-08,Winter,2011,January,5,Non-Holiday,Saturday,Non-Work,Cloudy,-0.48,-5.0,74.0,11.0,5,No,Cold,Cold,Too Moist,Slow Wind
